"SourceUnit","OriginalTestClass","OriginalTestMethod","Status","NexusTest","Notes"
"tcbaseparser.pas","<none>","<none>","not applicable because it targets passrc-specific internals","","Base parser helper unit has no published test methods; tracked as processed support code."
"tcclasstype.pas","TTestClassType","TestEmpty","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.TypeClassRecordInterfaceSymbols","Class parser behavior translated to Nexus class symbol."
"tcclasstype.pas","TTestClassType","TestEmptyComment","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestEmptyDeprecated","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestEmptyEnd","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestEmptyEndNoParent","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestEmptyObjC","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestEmptyObjCCategory","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcclasstype.pas","TTestClassType","TestOneInterface","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.StructuredTypeHeritageConstructorsProperties","Simple class heritage text is captured structurally as NexusPas declared type text."
"tcclasstype.pas","TTestClassType","TestTwoInterfaces","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.StructuredTypeHeritageConstructorsProperties","Multiple class heritage entries are captured structurally as NexusPas declared type text."
"tcclasstype.pas","TTestClassType","TestOneSpecializedClass","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
